PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1255636 root      20   0   32.1g  76240   4864 R  76.5   0.0   0:00.13 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:05.31 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:10.50 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:15.69 ego-host
1255636 root      20   0   32.1g  76252   4864 R 100.0   0.0   0:20.89 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:26.08 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:31.27 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:36.46 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:41.65 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:46.84 ego-host
1255636 root      20   0   32.1g  76252   4864 R  94.1   0.0   0:52.03 ego-host
1255636 root      20   0   32.1g  76252   4864 R 100.0   0.0   0:57.22 ego-host
1255636 root      20   0   32.1g  76252   4864 R 100.0   0.0   1:02.41 ego-host
1255636 root      20   0   32.1g  76252   4864 R 100.0   0.0   1:07.60 ego-host
